customer_id,age,gender,item_purchased,category,purchase_amount_usd,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases,review_rating_was_null,state_abbrev,promo_dependency_score,is_promo_dependent,purchase_freq_numeric,estimated_clv_proxy,value_composite,value_tier,satisfaction_flag,is_subscriber,loyalty_freq,loyalty_spend,customer_segment
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly,0,AR,1.0,1,26,884,0.3918000533546752,Mid,1,1,0,0,Mid-Value Promo-Dependent
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly,0,HI,1.0,1,26,1768,0.4246231826063758,Mid,1,1,0,1,Mid-Value Promo-Dependent
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,Venmo,Fortnightly,0,DE,1.0,1,26,1872,0.6249633186607976,High,1,1,0,1,High-Value Promo-Dependent
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly,0,NH,1.0,1,52,2652,0.6665816326530613,High,1,1,0,1,High-Value Promo-Dependent
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly,0,NY,1.0,1,52,2756,0.6953231292517007,High,1,1,0,1,High-Value Promo-Dependent
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly,0,RI,1.0,1,12,972,0.3736811391223156,Mid,0,1,0,0,Mid-Value Promo-Dependent
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly,0,AL,1.0,1,26,936,0.5225823662798453,High,1,1,0,1,High-Value Promo-Dependent
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly,0,MS,1.0,1,4,152,0.332703081232493,Low,1,1,0,0,Low-Value Promo-Dependent
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly,0,MT,1.0,1,52,2496,0.558843537414966,High,1,1,0,1,High-Value Promo-Dependent
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly,0,RI,1.0,1,26,2340,0.761187808456716,High,0,1,0,0,High-Value Promo-Dependent
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months,0,LA,1.0,1,4,204,0.4821078431372549,Mid,0,1,0,0,Mid-Value Promo-Dependent
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly,0,NC,1.0,1,4,248,0.3374649859943977,Low,1,1,0,0,Low-Value Promo-Dependent
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually,0,CA,1.0,1,1,37,0.2817176870748299,Low,0,1,0,0,Low-Value Promo-Dependent
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly,0,OK,1.0,1,52,4576,0.8819727891156462,High,1,1,0,1,High-Value Promo-Dependent
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly,0,FL,1.0,1,52,1144,0.4437074829931973,Mid,0,1,0,0,Mid-Value Promo-Dependent
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually,0,TX,1.0,1,1,25,0.1092687074829932,Low,0,1,0,0,Low-Value Promo-Dependent
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually,0,NV,1.0,1,1,20,0.0816326530612244,Low,0,1,0,0,Low-Value Promo-Dependent
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months,0,KY,1.0,1,4,224,0.2104241696678671,Low,1,1,0,0,Low-Value Promo-Dependent
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months,0,NC,1.0,1,4,376,0.6000500200080032,High,1,1,0,0,High-Value Promo-Dependent
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly,0,WY,1.0,1,52,2496,0.5384353741496599,High,1,1,0,1,High-Value Promo-Dependent
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly,0,NC,1.0,1,12,372,0.2197695744964652,Low,1,1,0,0,Low-Value Promo-Dependent
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly,0,WV,1.0,1,12,948,0.6170484860610911,High,1,1,0,1,High-Value Promo-Dependent
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually,0,KS,1.0,1,1,67,0.4407312925170068,Mid,1,1,0,0,Mid-Value Promo-Dependent
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,0,CO,1.0,1,4,152,0.3939275710284113,Mid,0,1,0,0,Mid-Value Promo-Dependent
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly,0,ND,1.0,1,4,364,0.567141856742697,High,1,1,0,0,High-Value Promo-Dependent
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly,0,MA,1.0,1,26,858,0.5372932506335868,High,1,1,0,0,High-Value Promo-Dependent
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly,0,IL,1.0,1,26,1794,0.6600823662798453,High,1,1,0,1,High-Value Promo-Dependent
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly,0,IN,1.0,1,52,2340,0.4987244897959184,Mid,0,1,0,0,Mid-Value Promo-Dependent
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,1,FL,1.0,1,4,148,0.3829581832733093,Mid,1,1,0,0,Mid-Value Promo-Dependent
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly,0,AZ,1.0,1,12,720,0.3542083500066693,Mid,1,1,0,0,Mid-Value Promo-Dependent
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly,0,LA,1.0,1,4,304,0.4570228091236494,Mid,1,1,0,0,Mid-Value Promo-Dependent
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually,0,AK,1.0,1,1,39,0.3444727891156462,Low,1,1,0,0,Low-Value Promo-Dependent
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually,0,TN,1.0,1,1,100,0.4285714285714285,Mid,1,1,0,0,Mid-Value Promo-Dependent
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly,0,OH,1.0,1,26,1794,0.4900143390689609,Mid,0,1,0,0,Mid-Value Promo-Dependent
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly,0,KY,1.0,1,52,2756,0.7701530612244899,High,1,1,0,1,High-Value Promo-Dependent
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually,0,TN,1.0,1,1,21,0.1674319727891156,Low,0,1,0,0,Low-Value Promo-Dependent
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,0,CA,1.0,1,4,172,0.4147609043617447,Mid,0,1,0,0,Mid-Value Promo-Dependent
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly,0,MT,1.0,1,52,2808,0.7130952380952381,High,1,1,0,1,High-Value Promo-Dependent
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly,0,NV,1.0,1,12,660,0.4694294384420434,Mid,0,1,0,0,Mid-Value Promo-Dependent
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly,0,NJ,1.0,1,26,780,0.4295551553954915,Mid,1,1,0,0,Mid-Value Promo-Dependent
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.8,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly,1,MD,1.0,1,26,728,0.4552354275043351,Mid,1,1,0,0,Mid-Value Promo-Dependent
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly,0,VT,1.0,1,4,236,0.2229241696678671,Low,1,1,0,0,Low-Value Promo-Dependent
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly,0,AK,1.0,1,52,1040,0.5034013605442177,Mid,0,1,0,0,Mid-Value Promo-Dependent
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly,0,MS,1.0,1,52,1248,0.5812925170068027,High,1,1,0,1,High-Value Promo-Dependent
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly,0,NM,1.0,1,26,2444,0.7030245431505936,High,1,1,0,1,High-Value Promo-Dependent
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually,0,SC,1.0,1,1,28,0.3598639455782313,Mid,0,1,0,0,Mid-Value Promo-Dependent
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly,0,MS,1.0,1,52,3796,0.8602891156462585,High,1,1,0,1,High-Value Promo-Dependent
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly,0,WV,1.0,1,26,1664,0.4555755635587568,Mid,1,1,0,1,Mid-Value Promo-Dependent
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly,0,MO,1.0,1,12,648,0.4040382819794584,Mid,1,1,0,0,Mid-Value Promo-Dependent
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly,0,LA,1.0,1,52,4108,0.5995748299319729,High,1,1,0,1,High-Value Promo-Dependent
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,Yes,17,Cash,Weekly,0,ID,1.0,1,52,1924,0.5130102040816326,High,1,1,0,1,High-Value Promo-Dependent
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months,0,TX,1.0,1,4,272,0.3556622649059623,Mid,1,1,0,0,Mid-Value Promo-Dependent
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly,0,MS,1.0,1,26,546,0.3716469921301854,Mid,1,1,0,0,Mid-Value Promo-Dependent
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly,0,AZ,1.0,1,52,4108,0.8648809523809523,High,0,1,0,0,High-Value Promo-Dependent
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly,0,AL,1.0,1,26,2158,0.5415449513138588,High,1,1,0,1,High-Value Promo-Dependent
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,0,NJ,1.0,1,4,144,0.3787915166066427,Mid,1,1,0,0,Mid-Value Promo-Dependent
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months,0,PA,1.0,1,4,376,0.341546618647459,Low,1,1,0,0,Low-Value Promo-Dependent
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly,0,CT,1.0,1,12,396,0.4525927037481659,Mid,1,1,0,0,Mid-Value Promo-Dependent
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months,0,UT,1.0,1,4,184,0.2639955982392957,Low,1,1,0,0,Low-Value Promo-Dependent
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly,0,TN,1.0,1,52,3640,0.5688775510204082,High,1,1,0,1,High-Value Promo-Dependent
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months,0,AL,1.0,1,4,116,0.2679921968787515,Low,1,1,0,0,Low-Value Promo-Dependent
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually,0,VA,1.0,1,1,48,0.341156462585034,Low,0,1,0,0,Low-Value Promo-Dependent
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months,0,GA,1.0,1,4,104,0.1806622649059623,Low,0,1,0,0,Low-Value Promo-Dependent
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly,0,HI,1.0,1,26,2210,0.7199463118580766,High,0,1,0,0,High-Value Promo-Dependent
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly,0,IN,1.0,1,12,696,0.2438342003468054,Low,1,1,0,0,Low-Value Promo-Dependent
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually,0,UT,1.0,1,1,85,0.4068877551020408,Mid,0,1,0,0,Mid-Value Promo-Dependent
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly,0,DE,1.0,1,12,516,0.3786131119114312,Mid,1,1,0,0,Mid-Value Promo-Dependent
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly,0,DE,1.0,1,26,1378,0.5389939309056956,High,0,1,0,0,High-Value Promo-Dependent
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly,0,NE,1.0,1,26,2366,0.7925653594771243,High,1,1,0,1,High-Value Promo-Dependent
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months,0,IA,1.0,1,4,384,0.6219887955182073,High,0,1,0,0,High-Value Promo-Dependent
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.8,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months,1,NY,1.0,1,4,288,0.3927370948379352,Mid,1,1,0,0,Mid-Value Promo-Dependent
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months,0,VA,1.0,1,4,384,0.5743697478991597,High,0,1,0,0,High-Value Promo-Dependent
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months,0,GA,1.0,1,4,112,0.1889955982392957,Low,1,1,0,0,Low-Value Promo-Dependent
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly,0,TX,1.0,1,52,2080,0.641156462585034,High,1,1,0,1,High-Value Promo-Dependent
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months,0,AZ,1.0,1,4,128,0.3485194077631052,Low,1,1,0,0,Low-Value Promo-Dependent
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly,0,NM,1.0,1,26,2470,0.4827014138988929,Mid,1,1,0,1,Mid-Value Promo-Dependent
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly,0,NV,1.0,1,26,1066,0.5638238628784847,High,0,1,0,0,High-Value Promo-Dependent
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly,0,OH,1.0,1,26,1378,0.5934156996131786,High,0,1,0,0,High-Value Promo-Dependent
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly,0,WY,1.0,1,12,564,0.415687941843404,Mid,0,1,0,0,Mid-Value Promo-Dependent
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly,0,CA,1.0,1,4,332,0.3773459383753501,Mid,0,1,0,0,Mid-Value Promo-Dependent
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly,0,SC,1.0,1,12,576,0.3790382819794584,Mid,0,1,0,0,Mid-Value Promo-Dependent
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months,0,SC,1.0,1,4,396,0.4644207683073229,Mid,1,1,0,0,Mid-Value Promo-Dependent
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months,0,TX,1.0,1,4,348,0.380407162865146,Mid,1,1,0,0,Mid-Value Promo-Dependent
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly,0,FL,1.0,1,52,3224,0.8144557823129251,High,1,1,0,1,High-Value Promo-Dependent
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly,0,NV,1.0,1,52,3952,0.7503401360544218,High,1,1,0,1,High-Value Promo-Dependent
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly,0,MO,1.0,1,12,1200,0.7249566493263973,High,1,1,0,1,High-Value Promo-Dependent
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.8,Yes,Express,Yes,Yes,43,Venmo,Every 3 Months,1,DE,1.0,1,4,292,0.526155462184874,High,1,1,0,0,High-Value Promo-Dependent
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually,0,VA,1.0,1,1,92,0.5448979591836735,High,1,1,0,0,High-Value Promo-Dependent
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Annually,0,NY,1.0,1,1,67,0.3250850340136054,Low,0,1,0,0,Low-Value Promo-Dependent
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly,0,MO,1.0,1,4,160,0.3206282513005202,Low,0,1,0,0,Low-Value Promo-Dependent
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly,0,SD,1.0,1,26,2548,0.6924803254635187,High,0,1,0,0,High-Value Promo-Dependent
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,Yes,50,Credit Card,Bi-Weekly,0,ND,1.0,1,26,2210,0.7675653594771242,High,1,1,0,1,High-Value Promo-Dependent
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly,0,OK,1.0,1,4,268,0.4467336934773909,Mid,1,1,0,0,Mid-Value Promo-Dependent
104,54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,Yes,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly,0,WV,1.0,1,26,2314,0.5937558356676004,High,1,1,0,1,High-Value Promo-Dependent
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1,PayPal,Monthly,0,NH,1.0,1,12,288,0.0885620915032679,Low,1,1,0,0,Low-Value Promo-Dependent
106,69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually,0,NY,1.0,1,1,96,0.3370748299319728,Low,0,1,0,0,Low-Value Promo-Dependent
107,64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly,0,MN,1.0,1,12,420,0.3384770574896625,Low,0,1,0,0,Low-Value Promo-Dependent
108,28,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,46,PayPal,Fortnightly,0,MD,1.0,1,26,1742,0.6653544751233826,High,0,1,0,0,High-Value Promo-Dependent
109,70,Male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly,0,MT,1.0,1,26,2054,0.6201163798852874,High,0,1,0,0,High-Value Promo-Dependent
110,58,Male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly,0,AL,1.0,1,26,2210,0.7199463118580766,High,0,1,0,0,High-Value Promo-Dependent
111,56,Male,Backpack,Accessories,26,New York,M,Black,Summer,4.0,Yes,Standard,Yes,Yes,26,Venmo,Fortnightly,0,NY,1.0,1,26,676,0.3584667200213419,Mid,1,1,0,0,Mid-Value Promo-Dependent
112,26,Male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5.0,Yes,Free Shipping,Yes,Yes,9,Credit Card,Annually,0,MA,1.0,1,1,75,0.2835884353741496,Low,1,1,0,0,Low-Value Promo-Dependent
113,37,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly,0,FL,1.0,1,26,1690,0.5345721621982126,High,1,1,0,1,High-Value Promo-Dependent
